,Ticker,Name,Type,Instrument,Source,Sharpe,Volatility
86,IAU,iShares Gold Trust Shares of the iShares Gold Trust,Commodities,ETF,benzinga[dot]com,0.8359105202680244,0.14900446701856537
87,SGOL,Aberdeen Standard Physical Gold Shares ETF,Commodities,ETF,benzinga[dot]com,0.8296560478500732,0.15059921145084873
88,GLD,SPDR Gold Trust,Commodities,ETF,benzinga[dot]com,0.8204077659827766,0.1501441573841584
89,DBC,Invesco DB Commodity Index Tracking Fund,Commodities,ETF,benzinga[dot]com,0.25251580930624923,0.17962980953681396
90,GLDI,Credit Suisse Gold Shares Covered Call Exchange Traded Notes,Commodities,ETF,benzinga[dot]com,0.8507858891298429,0.12747937853078575
91,SLVO,Credit Suisse Silver Shares Covered Call Exchange Traded Notes,Commodities,ETF,benzinga[dot]com,0.5131613346195983,0.23698237050598575
92,SOYB,Teucrium Soybean Fund ETV,Commodities,ETF,benzinga[dot]com,0.7479471430906959,0.17413897661602284
93,SCO,ProShares UltraShort Bloomberg Crude Oil,Commodities,ETF,benzinga[dot]com,0.0599635153514431,0.957373759451117
94,WEAT,Teucrium Wheat Fund ETV,Commodities,ETF,benzinga[dot]com,0.06098267604420267,0.23371041770175863
95,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Commodities,ETF,benzinga[dot]com,0.24291792989831273,0.1791542881374297
96,UGA,United States Gasoline Fund LP,Commodities,ETF,benzinga[dot]com,0.24293736005421027,0.46372080403004856
97,BNO,United States Brent Oil Fund,Commodities,ETF,benzinga[dot]com,0.09719254962543676,0.43270627348214397
98,AGQ,ProShares Ultra Silver,Commodities,ETF,benzinga[dot]com,0.5479060931609775,0.6391960384927385
99,SIVR,Aberdeen Standard Physical Silver Shares ETF,Commodities,ETF,benzinga[dot]com,0.6505296250241315,0.30977851806974055
100,IHE,iShares U.S. Pharmaceuticals ETF,Pharma,ETF,etfdb[dot]com,0.43742245297713406,0.21087845832306937
101,PJP,Invesco Dynamic Pharmaceuticals ETF,Pharma,ETF,etfdb[dot]com,0.3648940313448087,0.22187536796276933
102,XPH,SPDR S&P Pharmaceuticals ETF,Pharma,ETF,etfdb[dot]com,0.3518838581417481,0.24999287685838806
103,KURE,KraneShares MSCI All China Health Care Index ETF,Pharma,ETF,etfdb[dot]com,0.6531886456078059,0.3383508052171624
104,PPH,VanEck Vectors Pharmaceutical ETF,Pharma,ETF,etfdb[dot]com,0.47626058044048036,0.20735521040495875
105,POTX,Global X Cannabis ETF,Pharma,ETF,etfdb[dot]com,-0.05334332814398017,0.6834546242724867
106,MJJ,Microsectors Cannabis ETN,Pharma,ETF,etfdb[dot]com,0.9960869822647702,0.3678719839135677
107,FTXH,First Trust Nasdaq Pharmaceuticals ETF,Pharma,ETF,etfdb[dot]com,0.3508378589154919,0.2193441645445738
108,CHIH,Global X MSCI China Health Care ETF,Pharma,ETF,etfdb[dot]com,1.0306501280683042,0.308050593202383
109,MJO,MicroSectors Cannabis 2X Leveraged ETN,Pharma,ETF,etfdb[dot]com,0.9847399373807276,0.7376552045180811
110,CHNA,Loncar China BioPharma ETF,Pharma,ETF,etfdb[dot]com,0.8789932649922706,0.2884366168476926
111,PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,Pharma,ETF,etfdb[dot]com,0.22963898108744904,0.7005154217050105
112,CHB,Global X China Biotech Innovation ETF,Pharma,ETF,etfdb[dot]com,0.8033411787868491,0.27627159499813436
113,ARKQ,ARK Autonomous Technology & Robotics ETF,AI,ETF,etfdb[dot]com,1.076866586699501,0.3180742092389893
114,BOTZ,Global X Robotics & Artificial Intelligence ETF,AI,ETF,etfdb[dot]com,0.6811484139912009,0.28749233104635863
115,KOMP,SPDR S&P Kensho New Economies Composite ETF,AI,ETF,etfdb[dot]com,1.0971971311107243,0.30424952746512
116,ROBO,ROBO Global Robotics & Automation Index ETF,AI,ETF,etfdb[dot]com,0.7139475339641559,0.26852553501765875
117,PNQI,Invesco NASDAQ Internet ETF,AI,ETF,etfdb[dot]com,0.8252410355666314,0.27254228483277904
118,DRIV,Global X Autonomous & Electric Vehicles ETF,AI,ETF,etfdb[dot]com,0.9163204120519787,0.28354356034764017
119,IRBO,iShares Robotics and Artificial Intelligence Multisector ETF,AI,ETF,etfdb[dot]com,0.9049395349134938,0.2601265017749766
120,ROBT,First Trust Nasdaq Artificial Intelligence & Robotics ETF,AI,ETF,etfdb[dot]com,0.867148447475747,0.2662064032737441
121,DTEC,ALPS Disruptive Technologies ETF,AI,ETF,etfdb[dot]com,0.8608706194560101,0.24967632735184322
122,EBIZ,Global X E-commerce ETF,AI,ETF,etfdb[dot]com,1.167951790017132,0.27791775495120047
123,AIEQ,AI Powered Equity ETF,AI,ETF,etfdb[dot]com,0.736311230595405,0.24249420852473108
124,IETC,iShares Evolved U.S. Technology ETF,AI,ETF,etfdb[dot]com,1.0840238064455485,0.27107768281366607
125,QTUM,Defiance Quantum ETF,AI,ETF,etfdb[dot]com,0.9868828388065223,0.2791798484950339
126,LEGR,First Trust Indxx Innovative Transaction & Process ETF,AI,ETF,etfdb[dot]com,0.6569257338988961,0.24841745441069432
127,LOUP,Innovator Loup Frontier Tech ETF,AI,ETF,etfdb[dot]com,0.9268488429751518,0.31126188484892026
128,AOA,iShares Core Aggressive Allocation ETF,Aggressive,ETF,etfdb[dot]com,0.7289728427083378,0.16615519380735558
129,TDSE,Cabana Target Drawdown 16 ETF,Aggressive,ETF,etfdb[dot]com,1.3990600792265897,0.12984467976194183
130,GMOM,Cambria Global Momentum ETF,Aggressive,ETF,etfdb[dot]com,0.7850301648980889,0.11743395608422189
131,FFHG,Formula Folios Hedged Growth ETF,Aggressive,ETF,etfdb[dot]com,0.5044103995024991,0.19706566150865573
132,EAOA,iShares ESG Aware Aggressive Allocation ETF,Aggressive,ETF,etfdb[dot]com,2.10915553231205,0.12223875361206353
133,PSMG,Invesco Growth Multi-Asset Allocation ETF,Aggressive,ETF,etfdb[dot]com,0.7594746767815171,0.16872050786258794
134,EAOR,iShares ESG Aware Growth Allocation ETF,Aggressive,ETF,etfdb[dot]com,2.1842603728904666,0.09378784472199467
